cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
9451699000180,9451699,MATRIZ,CONVISO APPLICATION SECURITY S/A,NAO,200000
9653351000176,9653351,MATRIZ,JAMIL ALVES FONSECA,NAO,10000
10241629000187,10241629,MATRIZ,HABITAO EIRELI,SIM,93700
10292174000129,10292174,MATRIZ,PACIFIC CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,300000
10320392000120,10320392,MATRIZ,ATM SOLUCOES EM TECNOLOGIA LTDA,SIM,10000
10339359000141,10339359,MATRIZ,CONSULTI - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
10348941000174,10348941,MATRIZ,LINCROS TECH SOLUCOES EM SOFTWARE EIRELI,NAO,1087732
10353834000134,10353834,MATRIZ,GE DIGITAL DO BRASIL SERVICOS EM INFORMATICA LTDA.,NAO,17000
10358880000126,10358880,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000
10387465000109,10387465,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000
10414615000118,10414615,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA,NAO,1000000
10415575000129,10415575,MATRIZ,HR PROCESSAMENTO DE DADOS LTDA,NAO,45000
10436009000101,10436009,MATRIZ,MURA INFORMATICA LTDA,NAO,10000
10468447000143,10468447,MATRIZ,PRIME CONTROL CONSULTORIA LTDA,NAO,3091190
10469390000105,10469390,MATRIZ,BBP ADMINISTRADORA DE BENS IMOVEIS PROPRIOS LTDA,NAO,6000000
10472415000111,10472415,MATRIZ,BESTSOFT HARDWARE E LICENCIAMENTO DE SOFTWARE LTDA,SIM,10000
10509713000139,10509713,MATRIZ,MAXCOMPRA - CONSULTORIA EMPRESARIAL LTDA.,NAO,20000
10570173000107,10570173,MATRIZ,POLARIS PARTICIPACOES SOCIETARIAS LTDA,NAO,2250000
10655518000117,10655518,MATRIZ,ZIESEMER & CIA LTDA,SIM,10000
10657602000170,10657602,MATRIZ,CONTE SERVICOS DE INFORMATICA LTDA.,NAO,10000
10721973000173,10721973,MATRIZ,VIBROACUSTICA DESENVOLVIMENTO E PESQUISA LTDA,NAO,20000
10732355000129,10732355,MATRIZ,PETRIKOR DESIGN GRAFICO LTDA,SIM,30000
10778277000101,10778277,MATRIZ,TIAGO DA SILVA PRADO,NAO,50000
10803704000156,10803704,MATRIZ,J. MARCHI ASSESSORIA EM ENGENHARIA E INFORMATICA LTDA,SIM,10000
10882234000163,10882234,MATRIZ,ELITE TRADER ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA,SIM,15000
11030542000123,11030542,MATRIZ,SANTOS & CARLESSO LTDA,SIM,30000
11036060000180,11036060,MATRIZ,H. F. CABRAL - EIRELI,SIM,100000
11038137000151,11038137,MATRIZ,GODZ GOVERNANCA E CONSULTORIA EMPRESARIAL LTDA,SIM,84400
11094781000147,11094781,MATRIZ,KRN CONSULTORIA E TECNOLOGIA LTDA,NAO,80000
11152463000195,11152463,MATRIZ,MK DO BRASIL CONSULTORIA EM TI LTDA,NAO,500000
11204307000120,11204307,MATRIZ,MOOVE.ON CONSULTORIA EM INOVACAO LTDA,NAO,20000
11211970000152,11211970,MATRIZ,I 360 SOLUCOES PARA INTERACAO E COMUNICACAO CORPORATIVA LTDA,NAO,100000
11247373000188,11247373,MATRIZ,ARROBAINFO SOLUCOES EM INFORMATICA LTDA,SIM,30000
11381069000129,11381069,MATRIZ,JOAO ANTUNES RIBEIRO JUNIOR,SIM,10000
11482819000159,11482819,MATRIZ,DMX CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,104500
11564730000131,11564730,MATRIZ,IMAPS INTELLIGENCE LTDA,NAO,50000
11595710000128,11595710,MATRIZ,SHELTERIT SEGURANCA DIGITAL TRIBUTARIA S/A,NAO,300000
11595801000163,11595801,MATRIZ,ALIPRANDINI CONSULTORIA LTDA,NAO,20000
11738958000109,11738958,MATRIZ,DANIEL APARECIDO DE TOLEDO VIANA,SIM,10000
11902187000135,11902187,MATRIZ,INLINUX INFORMATICA LTDA,NAO,10000
11958556000101,11958556,MATRIZ,ASK CONSULTORIA E SISTEMAS LTDA,NAO,20000
12028803000133,12028803,MATRIZ,"VAR3F, CONSULTORIA INFORMATICA E SISTEMAS LTDA",NAO,50000
12231412000111,12231412,MATRIZ,VIRTUA VISION SYSTEMS EIRELI,NAO,80000
12324285000103,12324285,MATRIZ,HCM CONSULTING SERVICOS DE CONSULTORIA LTDA.,NAO,80000
12330337000146,12330337,MATRIZ,BEMACHI SORTEMOBIL SERVICOS DE INFORMATICA LTDA.,NAO,1200000
12350970000104,12350970,MATRIZ,EITI SOLUCOES DE TECNOLOGIA LTDA,NAO,85225
12803041000103,12803041,MATRIZ,IXS TECNOLOGIA DA INFORMACAO LTDA,NAO,7625
12861549000150,12861549,MATRIZ,REIS & BERNARDES CONSULTORIA E REPRESENTACOES LTDA,NAO,10000
12957904000199,12957904,MATRIZ,ZERO OU UM NEGOCIOS DIGITAIS LTDA,SIM,40000
13095751000180,13095751,MATRIZ,F. ALMEIDA CONSULTORIA EMPRESARIAL LTDA,NAO,20000
13178989000170,13178989,MATRIZ,MULTI CONSULTORIA E TECNOLOGIA EIRELI,SIM,88000
13224486000193,13224486,MATRIZ,FUSION INFORMATICA LTDA,NAO,100000
13292648000120,13292648,MATRIZ,INCITE TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
13612744000109,13612744,MATRIZ,PLIGG CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA.,SIM,1000000
13630506000126,13630506,MATRIZ,"MIRACH INOVACAO, TECNOLOGIA E SERVICOS EIRELI",NAO,90000
13809874000136,13809874,MATRIZ,FOCO CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
13963659000195,13963659,MATRIZ,GALAXIA NASCENTE CONSULTORIA LTDA,SIM,10000
13976120000170,13976120,MATRIZ,LAPORTE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,78800
13994051000128,13994051,MATRIZ,GOLIVE CONSULTORIA LTDA,SIM,13500
14063825000160,14063825,MATRIZ,SIMPLEZ CONSULTORIA LTDA,NAO,10000
14147860000167,14147860,MATRIZ,HADAS SERVICOS DE CONSULTORIA EM INFORMATICA LTDA,NAO,10000
14220191000101,14220191,MATRIZ,NEURON CONSULTORIA LTDA,SIM,60000
14371565000190,14371565,MATRIZ,SIKUR CONSULTORIA E GESTAO EMPRESARIAL LTDA.,NAO,7424177
14470857000180,14470857,MATRIZ,LERMEN SYSTEMS LTDA,SIM,10000
14513770000142,14513770,MATRIZ,RED COMMERCE CONSULTORIA E RECRUTAMENTO LTDA,NAO,1246300
14533121000103,14533121,MATRIZ,SEVENIT - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,98000
